"Supplementary Table 2. Lanternfishes species olfactory data used in analyses pertaining to ecological and behavioral factors. Migration acronyms include: DVM, diel vertical migration where species migrate towards the surface at night; PDVM, partial diel vertical migration where only part of the population migrates or has a bimodal distribution; NoDVM, the species does not migrate; IDVM, inverse diel vertical migration where species migrate towards the surface during the day. Feeding categories include: 0, predominately zooplanktivorous with a diet composition mainly containing planktonic crustaceans including amphipods, copepods, decapods, euphausiids, and ostracods; 1, predominately zooplanktivorous but diet includes additional prey types including chaetognaths, larvaceans, molluscs, and polychaete; 2, predominately zooplanktivorous but become partially piscivorous; 3, specialize on a particular prey group (e.g., only piscivorous, only feed on pteropods). Spawning categories include: 0, restricted spawners that only spawn one to two times a year; 1, extended spawners that spawn up to four to six months a year; 2, year-round spawners that spawn throughout the year.",,,,,,,,,,,,,,
Family,Subfamily,Species,Museum_ID,SL (mm),L.R.Lamellae,L.R.Length,ET,Sex,Migration,Migration Source,Feeding Guild,Feeding Source,Spawning,Spawning Source
Myctophidae,Diaphinae,Diaphus_thiollierei,AMNH 266590,25,10.5,0.5207,,,PDVM,"Kinzer et al., 1993",2,"Kinzer et al., 1993",,
Myctophidae,Myctophinae,Diogenichthys_atlanticus,MCZ 55530,23,10,0.508,,Female,DVM,"Paxton, 1967",1,"Oliva et al., 2006",2,"Sassa and Hirota, 2013"
Myctophidae,Myctophinae,Electrona_antarctica,MCZ 149056,78,24,2.032,,,NoDVM,"Moteki et al., 2009",1,"Gaskett et al., 2001; Pusch et al., 2004",0,"Sabourenkov, 1991"
Myctophidae,Myctophinae,Electrona_risso,MCZ 40855,44,12.5,1.016,,Female,NoDVM,"Eduardo et al., 2021",3,"Battaglia et al., 2016",0,"Wieben, 2015"
Myctophidae,Myctophinae,Gonichthys_cocco,MCZ 116656,58,46,1.524,8,Female,DVM,"Gartner et al., 1987",,,,
Myctophidae,Myctophinae,Gonichthys_tenuiculus,AMNH 1915,39,37,1.0922,,,DVM,"Van Noord et al., 2013",1,"Van Noord et al., 2013",,
Myctophidae,Gymnoscopelinae,Gymnoscopelus_braueri,MCZ 148790,100,22,1.905,25,Female,PDVM,"Saunders et al., 2015",0,"Gaskett et al., 2001",0,"Saunders et al., 2020"
Myctophidae,Gymnoscopelinae,Hintonia_candens,LACM 11542-1,95,36,2.4511,22,Female,DVM,"Wisner, 1976",,,,
Myctophidae,Myctophinae,Hygophum_hygomi,AMNH 24364,57,19,1.2827,,Female,DVM,"Olivar et al., 2012",0,"Pakhomov et al., 1996",,
Myctophidae,Myctophinae,Hygophum_proximum,AMNH 270882,40,13,0.8382,,Male,DVM,"Wang et al., 2019",0,"Kinzer et al., 1993",,
Myctophidae,Myctophinae,Hygophum_reinhardtii,MCZ 114833,42,15,0.889,17,Male,DVM,"Wang et al., 2019",0,"Gorelova, 1984",,
Myctophidae,Diaphinae,Idiolychnus_urolampus,From USNM 417740; Now (USNM 439014),85,36,1.84,30,Male,NoDVM,"Nafpaktitis and Paxton, 1978",,,,
Myctophidae,Myctophinae,Krefftichthys_anderssoni,LACM 11177-1,63,11,1.143,30,Female,DVM,"Piatkowski et al., 1994; Collins et al., 2008; Lourenço et al., 2016",0,"Gaskett et al., 2001",0,"Sabourenkov, 1991"
Myctophidae,Lampanyctinae,Lampadena_luminosa,USNM 417963,44,24,1.3335,,,DVM,"Eduardo et al., 2021",,,1,"Sassa and Hirota, 2013"
Myctophidae,Lampanyctinae,Lampadena_speculigera,MCZ 164146,120,20.5,2.159,17,,PDVM,"Gibbs and Krueger, 1987",,,,
Myctophidae,Lampanyctinae,Lampadena_urophaos,AMNH 270226,35,17,0.9398,27,,DVM,"Paxton, 1967",,,,
Myctophidae,Gymnoscopelinae,Lampanyctodes_hectoris,LACM 34352-1,43,17,1.025,20,Female,DVM,"Hulley and Prosch, 1987",0,"Tyler, 2016",0,"Young et al., 1987"
Myctophidae,Lampanyctinae,Lampanyctus_lineatus,MCZ 159035,60,18,1.27,,,DVm,"Gibbs and Krueger, 1987",,,,
Myctophidae,Lampanyctinae,Lampanyctus_macdonaldi,MCZ 164405,88,19,1.5748,,Female,NoDVM,"Nafpaktitis et al., 1977; Wisner, 1976",,,1,"Kawaguchi and Mauchline, 1982"
Myctophidae,Lampanyctinae,Lampanyctus_vadulus,MCZ 110183,68,25,1.4224,,,DVM,"Olivar et al., 2017",,,,
Myctophidae,Gymnoscopelinae,Lampichthys_procerus,LACM 11519-20,67,19.5,1.1049,25,Male,DVM,"Flynn and Kloser, 2012",,,,
Myctophidae,Lampanyctinae,Lepidophanes_guentheri,LACM 34941-2,61,21,1.2065,40,Female,PDVM,"Eduardo et al., 2021",2,"Olivar et al., 2019",1,"Gartner, 1993"
Myctophidae,Diaphinae,Lobianchia_gemellarii,MCZ 106956,43,27,1.143,,Female,PDVM,"Cocco, 1838",,,,
